type       name       armor   health   mana   cc   damage
helmet     platinum   200     100      100    70   100
chest      platinum   200     100      100    70   100
arms       platinum   200     100      100    70   100
boots      platinum   200     100      100    70   100
necklace   platinum   200     100      100    70   100
ring       platinum   200     100      100    70   100
helmet     diamond    180     95       95     68   95
chest      diamond    180     95       95     68   95
arms       diamond    180     95       95     68   95
boots      diamond    180     95       95     68   95
necklace   diamond    180     95       95     68   95
ring       diamond    180     95       95     68   95
helmet     gold       160     90       90     66   90
chest      gold       160     90       90     66   90
arms       gold       160     90       90     66   90
boots      gold       160     90       90     66   90
necklace   gold       160     90       90     66   90
ring       gold       160     90       90     66   90
helmet     steel      140     85       85     64   85
chest      steel      140     85       85     64   85
arms       steel      140     85       85     64   85
boots      steel      140     85       85     64   85
necklace   steel      140     85       85     64   85
ring       steel      140     85       85     64   85
helmet     silver     120     80       80     62   80
chest      silver     120     80       80     62   80
arms       silver     120     80       80     62   80
boots      silver     120     80       80     62   80
necklace   silver     120     80       80     62   80
ring       silver     120     80       80     62   80
helmet     iron       100     75       75     60   75
chest      iron       100     75       75     60   75
arms       iron       100     75       75     60   75
boots      iron       100     75       75     60   75
necklace   iron       100     75       75     60   75
ring       iron       100     75       75     60   75
helmet     brass      80      70       70     58   70
chest      brass      80      70       70     58   70
arms       brass      80      70       70     58   70
boots      brass      80      70       70     58   70
necklace   brass      80      70       70     58   70
ring       brass      80      70       70     58   70
helmet     bronze     60      65       65     56   65
chest      bronze     60      65       65     56   65
arms       bronze     60      65       65     56   65
boots      bronze     60      65       65     56   65
necklace   bronze     60      65       65     56   65
ring       bronze     60      65       65     56   65
helmet     stone      40      60       60     54   60
chest      stone      40      60       60     54   60
arms       stone      40      60       60     54   60
boots      stone      40      60       60     54   60
necklace   stone      40      60       60     54   60
ring       stone      40      60       60     54   60
helmet     wood       20      55       55     52   55
chest      wood       20      55       55     52   55
arms       wood       20      55       55     52   55
boots      wood       20      55       55     52   55
necklace   wood       20      55       55     52   55
ring       wood       20      55       55     52   55
